episode,style,mode,winner,red_score,blue_score,red_health,blue_health,red_falls,blue_falls,steps,unsafe_rejections,unsafe_rate,avg_risk,red_action_entropy,red_attack_rate,red_guard_rate
6133255,bully,firewall,1,12.00346469935423,42.32705183618182,57.67294816381818,87.99653530064579,0,0,80,1,0.0125,0.18510119774958506,1.4389476684147227,0.1125,0.075
8465841,bully,firewall,1,14.037322101731323,43.52127450440615,56.47872549559385,85.96267789826867,0,0,80,0,0.0,0.1562726542446095,1.3843936439579274,0.125,0.05
4154646,bully,firewall,1,25.280679615592426,44.881179068278655,55.11882093172136,81.71932038440757,0,1,80,2,0.025,0.13898532848111325,1.4106183276803952,0.125,0.05
5111951,bully,firewall,1,23.40889555879441,38.777854352961796,61.222145647038204,83.5911044412056,0,1,80,2,0.025,0.17117992667457613,1.5415325893090657,0.125,0.1
9333538,bully,firewall,0,26.992217433637716,24.372939478887933,75.62706052111204,80.0077825663623,0,1,80,5,0.0625,0.22279234580003743,1.636148489435771,0.125,0.0875
9826930,bully,firewall,1,14.400997524011409,52.60759184995662,47.94240815004338,85.59900247598857,0,0,80,1,0.0125,0.12971856020504316,1.600157038507726,0.125,0.1
738297,bully,raw_stress,1,17.13497032734729,49.85991005775486,64.14008994224514,89.86502967265271,2,1,80,0,0.0,0.0,1.7545668146044182,0.1,0.15
1812984,bully,raw_stress,1,0.0,11.0,96.0,100.0,1,0,80,0,0.0,0.0,1.0465413867965734,0.0125,0.0875
9318584,bully,raw_stress,1,3.31615752644883,23.6537113531203,76.3462886468797,96.68384247355117,0,0,80,0,0.0,0.0,1.745003238581114,0.1375,0.15
1259684,bully,raw_stress,1,0.0,44.0,84.0,100.0,4,0,80,0,0.0,0.0,0.6402569436810504,0.0,0.0
7061213,bully,raw_stress,1,0.0,22.0,92.0,100.0,2,0,80,0,0.0,0.0,1.0784254717529929,0.0125,0.0875
1584994,bully,raw_stress,1,0.0,33.0,88.0,100.0,3,0,80,0,0.0,0.0,0.9637382006382329,0.0,0.0375
8931076,bully,firewall_stress,0,18.65203408631451,7.511803710048272,92.48819628995173,88.34796591368548,0,1,80,6,0.075,0.3647731626100468,1.5954618442383217,0.1,0.15
9766715,bully,firewall_stress,1,8.46170654917143,23.128114170010203,83.87188582998978,91.53829345082859,1,0,80,12,0.15,0.4291840271822259,1.3708910971186945,0.0875,0.025
1682513,bully,firewall_stress,1,9.305629151293822,32.64057261053706,74.35942738946294,91.7943708487062,1,0,80,5,0.0625,0.31435592552666225,1.7379760609594195,0.125,0.15
6819383,bully,firewall_stress,-1,0.0,0.0,100.0,100.0,0,0,80,11,0.1375,0.4646528086681304,0.6719128322619454,0.0,0.0125
5518569,bully,firewall_stress,-1,0.0,0.0,100.0,100.0,0,0,80,13,0.1625,0.49650532876057535,0.6402569436810504,0.0,0.0
5977250,bully,firewall_stress,1,14.983464004527328,23.670546803382557,76.32945319661744,92.01653599547268,0,1,80,6,0.075,0.29395664262224835,1.5032308649180788,0.0875,0.0875
