episode,style,mode,winner,red_score,blue_score,red_health,blue_health,red_falls,blue_falls,steps,unsafe_rejections,unsafe_rate,avg_risk,red_action_entropy,red_attack_rate,red_guard_rate
1923187,pressure,scripted_baseline,0,93.21151270160999,82.52826788654397,19.12173211345602,18.188487298390015,0,1,180,0,0.0,0.0,2.8246274791555335,0.1388888888888889,0.2777777777777778
1164591,pressure,scripted_baseline,0,110.43497404242771,77.1387058863401,27.26129411365986,14.415025957572269,0,3,180,0,0.0,0.0,3.0407099057267186,0.15,0.2222222222222222
7752923,pressure,scripted_baseline,1,66.06836764673567,76.962567834355,34.98743216564496,37.23163235326433,1,0,180,0,0.0,0.0,3.015412600488931,0.13333333333333333,0.2
8441535,pressure,scripted_baseline,0,83.5525420931404,32.93289087896595,70.91710912103404,22.497457906859577,0,0,180,0,0.0,0.0,2.9336896029718624,0.16666666666666666,0.2388888888888889
6587311,pressure,scripted_baseline,1,59.04191496428843,108.26142706897014,4.788572931029835,44.25808503571155,1,0,180,0,0.0,0.0,2.9266740601747117,0.12777777777777777,0.2
7986734,pressure,scripted_baseline,-1,75.11081331859164,75.9447228851101,27.355277114889912,27.089186681408364,0,0,180,0,0.0,0.0,2.87897023339823,0.13333333333333333,0.3055555555555556
7624064,pressure,scripted_baseline,1,59.58755245477344,97.54859856637997,12.201401433620038,44.26244754522655,1,0,180,0,0.0,0.0,2.8460872202762166,0.12222222222222222,0.2111111111111111
173967,pressure,scripted_baseline,1,74.3691387486598,93.45021398917909,24.949786010820883,30.03086125134019,2,0,180,0,0.0,0.0,2.868984154559321,0.13333333333333333,0.22777777777777777
4907454,pressure,scripted_baseline,0,84.33048031285291,40.66006324424921,61.53993675575082,21.71951968714706,0,0,180,0,0.0,0.0,2.959036879329228,0.15,0.2611111111111111
769468,pressure,scripted_baseline,1,70.26495703043362,106.10410207858284,5.295897921417128,31.38504296956638,1,0,180,0,0.0,0.0,2.9021139257921744,0.12777777777777777,0.24444444444444444
968889,counter,scripted_baseline,-1,0.0,0.0,100.0,100.0,0,0,180,0,0.0,0.0,2.234509793344917,0.1,0.4388888888888889
4964563,counter,scripted_baseline,0,71.38279742190346,56.42956169758537,47.970438302414635,36.31720257809653,0,0,180,0,0.0,0.0,2.6245604732437116,0.12777777777777777,0.4166666666666667
