epoch,train_loss,train_acc,val_loss,val_acc,lr,val_acc_pressure,val_acc_counter,val_acc_evasive,val_acc_bully
1,2.014612649063659,0.2979248366013072,1.8455908231382017,0.31675925925925924,0.001866025403784439,0.3272005772005772,0.40777080062794346,0.2393455098934551,0.2966339410939691
2,1.7686423691892936,0.3333496732026144,1.7012077992050736,0.3339814814814815,0.0015000000000000002,0.35533910533910534,0.41365777080062793,0.2530441400304414,0.31661991584852733
3,1.6474883347866582,0.34705882352941175,1.6180285683384648,0.3503703703703704,0.001,0.37445887445887444,0.41601255886970173,0.2656012176560122,0.34642356241234223
4,1.5864763671588273,0.3578267973856209,1.5655991162194145,0.3561111111111111,0.0005000000000000002,0.38997113997113997,0.423861852433281,0.2675038051750381,0.3443197755960729
5,1.5475282315958558,0.36493464052287583,1.5457443288520532,0.3610185185185185,0.0001339745962155613,0.39285714285714285,0.42229199372056514,0.2735920852359209,0.355890603085554
6,1.532266626950183,0.36968954248366015,1.5385315884484185,0.3611111111111111,0.0,0.3903318903318903,0.41993720565149134,0.2777777777777778,0.35694249649368864
